date,total_pilgrims,band,band_name
2024-09-30,66986,2,MODERATE
2024-10-01,69300,2,MODERATE
2024-10-02,80613,4,HEAVY
2024-10-03,63376,2,MODERATE
2024-10-04,54866,1,LIGHT
2024-10-05,75552,3,BUSY
2024-10-06,86859,4,HEAVY
2024-10-07,81481,4,HEAVY
2024-10-08,82043,4,HEAVY
2024-10-09,79753,3,BUSY
2024-10-10,60775,2,MODERATE
2024-10-11,71443,3,BUSY
2024-10-12,73684,3,BUSY
2024-10-13,86900,4,HEAVY
2024-10-14,75361,3,BUSY
2024-10-15,73891,3,BUSY
2024-10-16,75371,3,BUSY
2024-10-17,58637,1,LIGHT
2024-10-18,61576,2,MODERATE
2024-10-19,80741,4,HEAVY
2024-10-20,73926,3,BUSY
2024-10-22,64359,2,MODERATE
2024-10-23,64447,2,MODERATE
2024-10-24,61004,2,MODERATE
2024-10-25,56501,1,LIGHT
2024-10-26,77844,3,BUSY
2024-10-27,69333,2,MODERATE
2024-10-28,63729,2,MODERATE
2024-10-29,59140,1,LIGHT
2024-10-30,59140,1,LIGHT
2024-10-31,63987,2,MODERATE
2024-11-01,67785,2,MODERATE
2024-11-02,88076,4,HEAVY
2024-11-03,84489,4,HEAVY
2024-11-04,74651,3,BUSY
2024-11-05,68146,2,MODERATE
2024-11-07,52643,1,LIGHT
2024-11-08,64983,2,MODERATE
2024-11-09,73558,3,BUSY
2024-11-10,82558,4,HEAVY
2024-11-11,73917,3,BUSY
2024-11-12,61446,2,MODERATE
2024-11-13,66441,2,MODERATE
2024-11-14,56711,1,LIGHT
2024-11-15,61613,2,MODERATE
2024-11-16,73179,3,BUSY
2024-11-17,71441,3,BUSY
2024-11-18,62085,2,MODERATE
2024-11-19,62248,2,MODERATE
2024-11-20,59231,1,LIGHT
2024-11-21,60803,2,MODERATE
2024-11-22,63731,2,MODERATE
2024-11-23,75147,3,BUSY
2024-11-24,75737,3,BUSY
2024-11-25,63637,2,MODERATE
2024-11-26,64525,2,MODERATE
2024-11-27,67626,2,MODERATE
2024-11-28,56952,1,LIGHT
2024-11-29,62147,2,MODERATE
2024-11-30,73169,3,BUSY
2024-12-01,67496,2,MODERATE
2024-12-02,58607,1,LIGHT
2024-12-03,60301,2,MODERATE
2024-12-04,65265,2,MODERATE
2024-12-06,75782,3,BUSY
2024-12-07,78569,3,BUSY
2024-12-08,73107,3,BUSY
2024-12-09,67124,2,MODERATE
2024-12-10,67284,2,MODERATE
2024-12-11,65887,2,MODERATE
2024-12-12,61178,2,MODERATE
2024-12-13,63722,2,MODERATE
2024-12-14,72962,3,BUSY
2024-12-15,66160,2,MODERATE
2024-12-16,62112,2,MODERATE
2024-12-17,63598,2,MODERATE
2024-12-18,70457,3,BUSY
2024-12-19,58165,1,LIGHT
2024-12-20,65299,2,MODERATE
2024-12-21,72411,3,BUSY
2024-12-22,77260,3,BUSY
2024-12-23,65656,2,MODERATE
2024-12-24,67209,2,MODERATE
2024-12-25,73301,3,BUSY
2024-12-26,59584,1,LIGHT
2024-12-27,66715,2,MODERATE
2024-12-28,78414,3,BUSY
2024-12-29,84950,4,HEAVY
2024-12-30,68298,2,MODERATE
2024-12-31,62495,2,MODERATE
2025-01-01,69630,2,MODERATE
2025-01-02,62085,2,MODERATE
2025-01-03,56550,1,LIGHT
2025-01-04,71990,3,BUSY
2025-01-05,66561,2,MODERATE
2025-01-06,54180,1,LIGHT
2025-01-07,62566,2,MODERATE
2025-01-08,62903,2,MODERATE
2025-01-09,40265,0,QUIET
2025-01-10,60094,2,MODERATE
2025-01-11,53013,1,LIGHT
2025-01-12,70966,3,BUSY
2025-01-13,74800,3,BUSY
2025-01-14,74800,3,BUSY
2025-01-15,71417,3,BUSY
2025-01-16,67115,2,MODERATE
2025-01-17,61142,2,MODERATE
2025-01-18,75931,3,BUSY
2025-01-19,70826,3,BUSY
2025-01-20,83806,4,HEAVY
2025-01-21,60581,2,MODERATE
2025-01-22,62223,2,MODERATE
2025-01-23,56225,1,LIGHT
2025-01-24,57655,1,LIGHT
2025-01-25,77651,3,BUSY
2025-01-26,74742,3,BUSY
2025-01-27,65278,2,MODERATE
2025-01-28,70610,3,BUSY
2025-01-29,62710,2,MODERATE
2025-01-30,51349,1,LIGHT
2025-01-31,51818,1,LIGHT
2025-02-01,80871,4,HEAVY
2025-02-02,75706,3,BUSY
2025-02-03,59784,1,LIGHT
2025-02-04,73599,3,BUSY
2025-02-05,58600,1,LIGHT
2025-02-06,58908,1,LIGHT
2025-02-07,62971,2,MODERATE
2025-02-08,76598,3,BUSY
2025-02-09,84536,4,HEAVY
2025-02-10,70169,3,BUSY
2025-02-11,67192,2,MODERATE
2025-02-12,70270,3,BUSY
2025-02-13,60203,2,MODERATE
2025-02-14,64527,2,MODERATE
2025-02-15,78873,3,BUSY
2025-02-16,79705,3,BUSY
2025-02-17,60784,2,MODERATE
2025-02-18,68427,2,MODERATE
2025-02-19,72745,3,BUSY
2025-02-20,59776,1,LIGHT
2025-02-21,65327,2,MODERATE
2025-02-22,78110,3,BUSY
2025-02-23,78892,3,BUSY
2025-02-24,66764,2,MODERATE
2025-02-25,65127,2,MODERATE
2025-02-26,62323,2,MODERATE
2025-02-27,58627,1,LIGHT
2025-02-28,52731,1,LIGHT
2025-03-01,71785,3,BUSY
2025-03-02,69592,2,MODERATE
2025-03-03,65683,2,MODERATE
2025-03-04,64861,2,MODERATE
2025-03-05,63285,2,MODERATE
2025-03-06,58548,1,LIGHT
2025-03-07,67127,2,MODERATE
2025-03-08,74646,3,BUSY
2025-03-09,79478,3,BUSY
2025-03-10,69746,2,MODERATE
2025-03-11,66393,2,MODERATE
2025-03-12,68509,2,MODERATE
2025-03-13,51148,1,LIGHT
2025-03-14,63987,2,MODERATE
2025-03-15,82580,4,HEAVY
2025-03-16,82721,4,HEAVY
2025-03-17,70824,3,BUSY
2025-03-18,65487,2,MODERATE
2025-03-19,72388,3,BUSY
2025-03-20,58872,1,LIGHT
2025-03-21,64170,2,MODERATE
2025-03-22,75428,3,BUSY
2025-03-23,84198,4,HEAVY
2025-03-24,58358,1,LIGHT
2025-03-25,64252,2,MODERATE
2025-03-26,75354,3,BUSY
2025-03-27,64279,2,MODERATE
2025-03-28,65569,2,MODERATE
2025-03-29,76005,3,BUSY
2025-03-30,62263,2,MODERATE
2025-03-31,62263,2,MODERATE
2025-04-01,72981,3,BUSY
2025-04-02,72721,3,BUSY
2025-04-03,58864,1,LIGHT
2025-04-04,66327,2,MODERATE
