date,total_pilgrims
2016-11-03,72408
2016-11-04,64915
2016-11-05,81657
2016-11-06,78140
2016-11-07,63967
2016-11-08,68953
2016-11-09,64068
2016-11-10,56244
2016-11-11,67862
2016-11-12,80248
2016-11-13,80985
2016-11-14,68007
2016-11-15,57025
2016-11-16,56462
2016-11-17,60747
2016-11-18,62112
2016-11-19,70371
2016-11-20,84047
2016-11-21,67241
2016-11-22,60605
2016-11-23,57157
2016-11-24,66687
2016-11-25,61637
2016-11-26,81047
2016-11-27,90025
2016-11-28,72117
2016-11-29,60807
2016-11-30,55750
2016-12-01,60150
2016-12-02,62377
2016-12-03,78559
2016-12-04,73811
2016-12-05,75577
2016-12-06,60062
2016-12-07,54953
2016-12-08,57185
2016-12-09,63590
2016-12-10,81609
2016-12-11,90067
2016-12-12,71029
2016-12-13,57019
2016-12-14,53934
2016-12-15,49658
2016-12-16,66952
2016-12-17,50630
2016-12-18,78752
2016-12-19,65587
2016-12-20,62949
2016-12-21,61463
2016-12-22,60421
2016-12-23,65842
2016-12-24,77884
2016-12-25,82335
2016-12-26,82577
2016-12-27,80043
2016-12-28,63748
2016-12-29,77360
2016-12-30,64455
2016-12-31,80340
2017-01-01,102862
2017-01-02,56770
2017-01-03,43278
2017-01-04,62387
2017-01-05,61517
2017-01-06,62031
2017-01-07,78469
2017-01-08,92624
2017-01-09,84477
2017-01-10,63737
2017-01-11,61552
2017-01-12,57678
2017-01-13,64117
2017-01-14,84040
2017-01-15,82242
2017-01-16,87077
2017-01-17,74628
2017-01-18,70184
2017-01-19,67357
2017-01-20,63238
2017-01-21,77464
2017-01-22,79137
2017-01-23,73092
2017-01-24,65019
2017-01-25,62717
2017-01-26,75565
2017-01-27,63332
2017-01-28,82437
2017-01-29,77283
2017-01-30,64585
2017-01-31,60227
2017-02-01,58254
2017-02-02,56079
2017-02-03,81599
2017-02-04,78751
2017-02-05,77686
2017-02-06,68970
2017-02-07,65674
2017-02-08,58821
2017-02-09,63487
2017-02-10,66496
2017-02-12,88299
2017-02-13,71411
2017-02-14,62166
2017-02-15,60449
2017-02-16,62181
2017-02-17,62882
2017-02-18,83037
2017-02-19,87516
2017-02-20,64046
2017-02-21,67007
2017-02-22,63013
2017-02-23,58413
2017-02-24,66206
2017-02-25,88226
2017-02-26,75931
2017-02-27,61977
2017-02-28,62458
2017-03-01,63240
2017-03-02,59427
2017-03-03,60031
2017-03-04,77164
2017-03-05,82347
2017-03-06,60507
2017-03-07,59649
2017-03-08,60567
2017-03-09,63644
2017-03-10,63644
2017-03-11,84475
2017-03-12,88144
2017-03-13,77995
2017-03-14,60667
2017-03-15,61043
2017-03-16,62133
2017-03-17,62133
2017-03-18,85326
2017-03-19,86338
2017-03-20,72400
2017-03-21,67631
2017-03-22,65086
2017-03-23,65240
2017-03-24,63780
2017-03-25,78429
2017-03-26,83964
2017-03-27,68128
2017-03-28,58927
2017-03-29,59677
2017-03-30,68578
2017-03-31,65880
2017-04-01,81553
2017-04-02,87831
2017-04-03,79322
2017-04-04,72841
2017-04-05,59471
2017-04-06,61199
2017-04-07,68032
2017-04-08,93152
2017-04-09,89443
2017-04-10,71847
2017-04-11,68610
2017-04-12,62620
2017-04-13,69917
2017-04-14,80306
2017-04-15,93616
2017-04-16,96027
2017-04-17,78419
2017-04-18,71777
2017-04-19,62745
2017-04-20,66253
2017-04-21,69328
2017-04-22,93057
2017-04-23,93167
2017-04-24,77311
2017-04-25,72285
2017-04-26,70030
2017-04-27,64576
2017-04-28,72337
2017-04-29,90115
2017-04-30,100277
2017-05-01,88367
2017-05-02,82269
2017-05-03,75283
2017-05-04,71691
2017-05-05,75772
2017-05-06,85712
2017-05-07,89237
2017-05-08,78439
2017-05-11,77260
2017-05-12,79269
2017-05-13,96027
2017-05-14,97336
2017-05-15,84636
2017-05-16,83677
2017-05-17,73470
2017-05-18,75543
2017-05-19,80363
2017-05-20,101764
2017-05-21,88766
2017-05-22,95647
2017-05-23,89634
2017-05-24,84071
2017-05-25,92137
2017-05-26,84054
2017-05-27,101107
2017-05-29,96113
2017-05-30,93417
2017-05-31,85137
2017-06-01,84020
2017-06-02,81082
2017-06-03,98945
2017-06-04,100107
2017-06-05,87834
2017-06-06,85491
2017-06-07,78252
2017-06-08,73797
2017-06-09,81347
2017-06-10,96173
2017-06-11,107853
2017-06-12,90347
2017-06-13,86813
2017-06-14,75325
2017-06-15,77223
2017-06-16,72431
2017-06-17,101386
2017-06-18,99487
2017-06-19,81902
2017-06-20,81915
2017-06-21,81902
2017-06-22,82128
2017-06-23,72643
2017-06-24,81012
2017-06-25,96055
2017-06-26,88980
